image,ground_truth,prediction,CER_score
test001_1.jpg,B9140BCD,B9114D,0.5
test001_2.jpg,B2407UZO,2471,0.625
test001_3.jpg,B2842PKM,B20349,0.75
test002_1.jpg,BG1352AE,1352 AE,0.375
test003_1.jpg,B2634UZF,Bd2638,0.625
test003_2.jpg,B1995JVK,BJK,0.625
test004_1.jpg,B9062VEN,The license plate number shown in the image is 3082659.,6.625
test005_1.jpg,DD3798KM,DDD 1798,0.625
test006_1.jpg,T1329KD,1732,0.7142857142857143
test007_1.jpg,AD8865EE,AD8869,0.375
test008_1.jpg,DK1157AAB,DKL 1157,0.5555555555555556
test008_2.jpg,AA1997FE,AA-1991,0.5
test009_1.jpg,H8518NA,HK-8651,0.8571428571428571
test009_2.jpg,K1649GB,KW10 LX54,1.0
test010_1.jpg,B9416PCN,B9961PEN,0.5
test010_2.jpg,H1147UY,H1127VY,0.2857142857142857
test011_1.jpg,H1691IL,1691,0.42857142857142855
test011_2.jpg,B9374KV,The license plate number shown in the image is 932182.,7.428571428571429
test011_3.jpg,D1204AIG,12041 AAG,0.5
test012_1.jpg,E1887BA,E1897,0.42857142857142855
test013_1.jpg,B1439UZP,1453,0.75
test013_2.jpg,B1128WBS,B111219,0.625
test014_1.jpg,B1388DFX,1387 DX,0.5
test015_1.jpg,AD1798BT,AD1798,0.25
test016_1.jpg,E1517DO,1517 DOD,0.42857142857142855
test017_1.jpg,AD8982FS,AD89082,0.375
test018_1.jpg,L7603UA,760-849,0.7142857142857143
test019_1.jpg,AD7HS,"The license plate number displayed on the sign is ""AD72HS.""",10.8
test019_2.jpg,B1959WYK,B1965WYL,0.375
test020_1.jpg,AG8634EK,The license plate number shown in the image is ACG886.,6.625
test020_2.jpg,AD1328PY,AD1328,0.25
test021_1.jpg,BA1709DW,BA1709,0.25
test021_2.jpg,W1236VZ,WV1234,0.5714285714285714
test022_1.jpg,W1825BZ,1825,0.42857142857142855
test022_2.jpg,L1202UE,L-12302,0.5714285714285714
test022_3.jpg,L3823IO,1832,0.7142857142857143
test023_1.jpg,B1730JLO,1739,0.625
test024_1.jpg,B2964TRU,B2967,0.5
test025_1.jpg,S5585LP,5697,0.8571428571428571
test025_2.jpg,L2858RR,L2350RD,0.42857142857142855
test025_3.jpg,W1185ZO,W11 18.6,0.7142857142857143
test025_4.jpg,Z9840VU,9845678,0.7142857142857143
test026_1.jpg,N9652DE,9652,0.42857142857142855
test026_2.jpg,L3836ZX,3896,0.5714285714285714
test027_1.jpg,N1905IG,N19635,0.5714285714285714
test027_2.jpg,B1109CLR,B1109,0.375
test027_3.jpg,L1840AL,1864,0.7142857142857143
test028_1.jpg,L1438EB,1438,0.42857142857142855
test028_2.jpg,L1436AAJ,L1413AAA,0.375
test029_1.jpg,W1516WF,NW1516,0.42857142857142855
test029_2.jpg,G1986N,G1961,0.3333333333333333
test029_3.jpg,L1588OO,1680,0.7142857142857143
test029_4.jpg,L1436AAA,1436 AAA,0.25
test030_1.jpg,S8062NF,80902,0.7142857142857143
test030_2.jpg,G1894TE,1893,0.5714285714285714
test031_1.jpg,L1560JO,1560,0.42857142857142855
test031_2.jpg,L1568OB,1653,0.7142857142857143
test031_3.jpg,L1332AAZ,L1932AAA,0.25
test032_1.jpg,B2734SKY,B2563Sky,0.625
test032_2.jpg,W1192K,W1132,0.3333333333333333
test033_1.jpg,L4561VK,2534,0.8571428571428571
test033_2.jpg,L2693GR,License plate number: L120695,3.857142857142857
test033_3.jpg,W9847G,The license plate number shown in the image is W879613.,8.833333333333334
test033_4.jpg,L1762ABJ,License plate number: LT7823,3.375
test034_1.jpg,L1811SU,L1811S,0.14285714285714285
test034_2.jpg,W1167VB,W18 176,0.7142857142857143
test034_3.jpg,S6131ACF,S61145,0.5
test034_4.jpg,L2570AAD,L2570AD,0.125
test035_1.jpg,L9643NN,9063,0.7142857142857143
test035_2.jpg,L5247GI,5237,0.5714285714285714
test035_3.jpg,L2498AAM,L 2739,0.875
test035_4.jpg,W1696YO,WYD,0.7142857142857143
test036_1.jpg,B1231JJA,B123456JA,0.375
test036_2.jpg,B1618UAE,BIG1688,0.75
test037_1.jpg,L1775VO,1776 VOLT,0.7142857142857143
test037_2.jpg,L300RX,300,0.5
test037_3.jpg,L1879VG,1879,0.42857142857142855
test038_1.jpg,D1523YCN,1652,0.75
test038_2.jpg,L1877ACU,1877,0.5
test039_1.jpg,L1069VK,1096,0.5714285714285714
test040_1.jpg,S1595LL,1590C,0.5714285714285714
test041_1.jpg,B1231JJA,12345,0.625
test042_1.jpg,AD1174SF,AD17117,0.5
test043_1.jpg,W1898YW,WV1898,0.42857142857142855
test043_2.jpg,W1470PG,1440,0.5714285714285714
test044_1.jpg,L1930KF,1930,0.42857142857142855
test044_2.jpg,N1004HE,N104HE,0.14285714285714285
